"","ID","item","ht","cl","sr","fb","nw","rb","cohort","gloss","spanish","Sex","age","year_tested","year_entry"
"49",45,"age",0,1,0,1,1,0,"second","YEAR QUESTION YEAR",NA,"F",26.5,2011,1990
"50",46,"age",0,1,0,0,0,0,"hearing","and your age?","y tu edad?","M",17,2017,NA
"51",48,"age",1,0,1,0,0,1,"hearing","And what is your age?","Y que edad tienes?","F",20.6,2017,NA
"52",49,"age",0,1,0,0,0,0,"hearing","Your age?","Tu edad?","M",32.2,2017,NA
"53",49,"age",1,0,1,1,0,0,"hearing","How old are you getting? ","Cuanto cumples?","M",32.2,2017,NA
"54",3,"age",1,0,0,0,0,0,"second","YOU HAVE YEARS YOU",NA,"F",21.8,2008,1990
"55",26,"age",0,0,0,0,0,0,"first","ME QUESTION E-D-A-D",NA,"M",50,2017,1974
"56",26,"age",0,0,0,0,0,0,"first","SIGN YEAR",NA,"M",50,2017,1974
"57",1,"bed time",0,0,0,0,0,1,"second","TIME NIGHT BEFORE WRONG BEFORE (*she's correcting the last question)",NA,"F",24.4,2008,1989
"58",2,"bed time",0,0,0,0,0,0,"second","TIME OF NIGHT",NA,"M",21.9,2008,1990
"59",5,"bed time",1,1,0,0,0,0,"second","TIME NIGHT (inc) SLEEP SLEEP YOU",NA,"M",26.2,2008,1986
"60",13,"bed time",0,0,0,1,1,0,"second","TIME BED DARK YOU TIME","","F",34.1,2017,1985
"61",17,"bed time",0,0,0,0,0,1,"first","TIME BED YOU ... NIGHT",NA,"F",36.5,2017,1977
"62",28,"bed time",1,1,0,2,0,0,"third","TIME BED WHAT","","M",21.9,2017,1999
"63",47,"bed time",0,0,0,0,0,0,"hearing","what time do you go to bed?","a que hora acuestas a la noche?","F",37.9,2017,NA
"64",9,"bed time",1,0,0,0,0,0,"first","TIME SLEEP WHAT",NA,"M",31,2008,1983
"65",10,"bed time",0,1,0,1,2,0,"second","TIME NIGHT HOW BED/SLEEP YOU",NA,"F",27.2,2009,1987
"66",11,"bed time",1,1,0,1,0,1,"second","QUESTION TIME BED YOU",NA,"M",23.1,2008,1989
"67",14,"bed time",1,0,0,0,0,0,"second","YOU (inc) TIME YOU SLEEP NIGHT YOU QUESTION",NA,"F",23.3,2008,1989
"68",15,"bed time",0,0,1,1,1,0,"third","BED TIME WHAT QUESTION",NA,"F",28.8,2017,1994
"69",20,"bed time",0,1,0,1,0,0,"second","QUESTION TIME BED",NA,"M",23.9,2008,1990
"70",21,"bed time",1,0,1,1,1,0,"second","YOU QUESTION YOU WHAT TIME BED WHAT TIME YOU",NA,"M",21.5,2008,1990
"71",22,"bed time",0,0,0,0,0,0,"first","YOU TIME BED TIME YOU",NA,"M",30.5,2008,1978
"72",25,"bed time",0,0,0,0,1,0,"third","TIME YOU BED",NA,"F",19.4,2009,1994
"73",29,"bed time",0,0,0,0,0,0,"third","TIME YOUR BED",NA,"M",15.9,2009,1997
"74",32,"bed time",0,0,0,1,1,0,"first","TIME NIGHT BED",NA,"M",42.8,2017,1979
"75",33,"bed time",0,0,0,0,0,1,"first","TIME DE BED",NA,"F",31,2008,1983
"76",46,"bed time",0,1,0,0,0,1,"hearing","at what time do you go to bed at night?","a que hora te acuestas a noche?","M",17,2017,NA
"77",48,"bed time",1,1,0,0,0,0,"hearing","What time did you go to sleep? ","Que hora te acostastes en la noche?","F",20.6,2017,NA
"78",49,"bed time",0,0,0,0,0,0,"hearing","At what time did you go to sleep?","A que hora te acostastes en la noche?","M",32.2,2017,NA
"79",3,"bed time",0,0,0,0,0,1,"second","TIME BED TIME BED",NA,"F",21.8,2008,1990
"80",34,"birthday",0,0,0,0,0,0,"hearing","when is your birthday?","cuando cumpleanos?","F",27.6,2010,NA
"81",35,"birthday",2,0,0,0,0,0,"hearing","what day is your birthday?","que dia es cumpleanos?","F",30.2,2010,NA
"82",1,"birthday",0,0,0,0,0,0,"second","YOU HAVE BIRTHDAY",NA,"F",24.4,2008,1989
"83",42,"birthday",0,1,0,0,0,0,"hearing","When is your birthday?","Cuando cumples anos?","M",29.4,2011,NA
"84",42,"birthday",0,0,0,0,0,1,"hearing","And your date of birth?","Y la fecha que nacistes?","M",29.4,2011,NA
"85",43,"birthday",0,0,0,0,0,0,"hearing","When is your birthday? ","Cual es la fecha de tu cumpleanos","M",26,2011,NA
"86",44,"birthday",1,0,1,1,0,0,"hearing","And when is your birthday?","Y cuando es tu cumpleanos?","M",27.6,2011,NA
"87",44,"birthday",0,0,0,0,0,0,"hearing","Name or birthday of your mom/","Nombre or cumpleanos de tu mama?","M",27.6,2011,NA
"88",2,"birthday",0,0,0,0,0,0,"second","BIRTHDAY QUESTION YOU",NA,"M",21.9,2008,1990
"89",4,"birthday",0,0,0,0,0,0,"second","BIRTHDAY YOU",NA,"M",27.2,2009,1986
"90",5,"birthday",0,0,0,1,0,0,"second","YOU BIRTHDAY YOU BIRTHDAY",NA,"M",26.2,2008,1986
"91",13,"birthday",0,0,0,1,0,0,"second","YOU BIRTHDAY YOU WHAT","","F",34.1,2017,1985
"92",17,"birthday",0,0,0,0,0,0,"first","BIRTHDAY YOU",NA,"F",36.5,2017,1977
"93",28,"birthday",1,0,0,1,0,0,"third","YOU BIRTHDAY WHEN BIRTHDAY","","M",21.9,2017,1999
"94",28,"birthday",1,0,0,0,0,0,"third","MAMA WHEN BIRTHDAY ","","M",21.9,2017,1999
"95",50,"birthday",0,0,0,0,0,0,"hearing","When is your birthday? ","Cuando cumples anos?","F",43.5,2017,NA
"96",23,"birthday",1,0,0,0,0,0,"third","WHEN BIRTHDAY",NA,"F",23.8,2017,1997
"97",6,"birthday",1,0,0,1,0,0,"second","BIRTHDAY",NA,"F",29.8,2011,1987
"98",6,"birthday",0,0,0,0,0,1,"second","YOU BIRTHDAY MAMA",NA,"F",29.8,2011,1987
"99",7,"birthday",1,1,0,0,0,0,"first","BIRTHDAY WHAT",NA,"F",31.8,2008,1983
"100",8,"birthday",0,0,0,1,2,2,"first"," C U M P L E A N O S (fs) YOU BIRTHDAY (inc) HAPPY BIRTHDAY HAPPY… WHAT WHEN WHAT",NA,"F",40.1,2008,1974
"101",39,"birthday",0,0,0,1,0,0,"hearing","And the date of your birthday?","Y la fecha de tu cumpleanos?","M",24.7,2010,NA
"102",38,"birthday",1,0,0,0,0,0,"hearing","When is your birthday?","Cuando cumples anos?","F",28.7,2010,NA
"103",41,"birthday",0,0,0,0,0,0,"hearing","When is your birthday?","Cuando cumples anos?","F",24.8,2010,NA
"104",34,"birthday",0,0,0,0,0,1,"hearing","When is your birthday?","Cuando cumple años?","F",NA,2010,NA
"105",36,"birthday",0,0,0,0,0,1,"hearing","When is your birthday?","Cuando cumples anos?","M",23.8,2010,NA
"106",37,"birthday",0,1,0,0,0,0,"hearing","When is your birthday?","Cuando cumples años?","F",55.3,2010,NA
"107",9,"birthday",0,0,0,0,0,0,"first","BIRTHDAY",NA,"M",31,2008,1983
"108",10,"birthday",0,0,0,0,0,1,"second","BIRTHDAY YOU BIRTHDAY",NA,"F",27.2,2009,1987
"109",11,"birthday",0,1,0,1,0,0,"second","YOU pause QUESTION YOU BIRTHDAY",NA,"M",23.1,2008,1989
"110",11,"birthday",1,1,0,1,0,1,"second","QUESTION YOU MOTHER BIRTHDAY WHAT (inc)QUESTION,T=Wh word,B=87070,E=87750",NA,"M",23.1,2008,1989
"111",12,"birthday",1,1,0,0,1,2,"third","YOU WHAT BIRTHDAY WHAT",NA,"M",17.9,2010,1998
"112",14,"birthday",1,0,0,1,0,0,"second","BIRTHDAY QUESTION YOU",NA,"F",23.3,2008,1989
"113",15,"birthday",0,0,1,1,1,0,"third","QUESTION YOU BIRTHDAY WHEN BIRTHDAY WHEN",NA,"F",28.8,2017,1994
"114",16,"birthday",1,0,0,1,0,0,"third","YOU BIRTHDAY",NA,"M",18,2010,1997
"115",18,"birthday",0,0,0,1,0,0,"third","QUESTION BIRTHDAY",NA,"M",19.3,2009,1993
"116",19,"birthday",0,0,0,1,0,0,"third","WHEN BIRTHDAY QUESTION",NA,"M",18.7,2009,1993
"117",20,"birthday",1,0,0,1,0,0,"second","QUESTION YOU BIRTHDAY",NA,"M",23.9,2008,1990
"118",21,"birthday",0,0,0,1,0,0,"second","QUESTION YOU BIRTHDAY YOU WHAT (inc)",NA,"M",21.5,2008,1990
"119",22,"birthday",0,0,0,0,0,0,"first","BIRTHDAY YOU",NA,"M",30.5,2008,1978
"120",24,"birthday",0,0,0,1,1,0,"first","YOU BIRTHDAY WHEN WHEN",NA,"M",30.9,2008,1980
"121",25,"birthday",0,0,0,1,0,0,"third","WHEN YOU BIRTHDAY",NA,"F",19.4,2009,1994
"122",25,"birthday",2,0,0,0,0,0,"third","YOU WHEN YOU (shakes head)… BIRTHDAY YOU (shakes head)… QUESTION YOU (inc) BIRTHDAY YOU MOTHER",NA,"F",19.4,2009,1994
"123",26,"birthday",0,0,0,0,0,0,"first","BIRTHDAY WHAT",NA,"M",50,2017,1974
"124",27,"birthday",0,0,0,1,0,0,"third","QUESTION YOU WHEN YOUBIRTHDAY",NA,"M",23.4,2017,1998
"125",29,"birthday",0,0,0,0,0,0,"third","BIRTHDAY WHAT",NA,"M",15.9,2009,1997
"126",30,"birthday",1,1,0,1,0,0,"third","YOU BIRTHDAY FELIZ",NA,"F",16.1,2010,1998
"127",31,"birthday",0,0,0,0,0,0,"first","BIRTHDAY YOU",NA,"M",30.5,2008,1982
"128",31,"birthday",1,1,0,0,0,0,"first","BIRTHDAY DE YOU MAMA",NA,"M",30.5,2008,1982
"129",32,"birthday",0,0,0,0,0,1,"first","BIRTHDAY YOU BIRTHDAY",NA,"M",42.8,2017,1979
"130",33,"birthday",0,0,0,1,1,0,"first","YOU BIRTHDAY WHAT YOU",NA,"F",31,2008,1983
"131",45,"birthday",0,0,0,0,0,0,"second","BIRTHDAY",NA,"F",26.5,2011,1990
"132",46,"birthday",0,0,0,0,0,0,"hearing","what day is your birthday?","Y el dia de tu cumpleaños?","M",17,2017,NA
"133",48,"birthday",1,1,1,0,0,1,"hearing","What is the date of your birthday?","Cual es la fecha de tu cumpleanos?","F",20.6,2017,NA
"134",49,"birthday",0,1,0,0,0,0,"hearing","And your birthday? When is your birthday?","Y tu cumpleanos? Cuando cumples anos?","M",32.2,2017,NA
"135",3,"birthday",0,0,0,0,0,0,"second","BIRTHDAY YOU BIRTHDAY",NA,"F",21.8,2008,1990
"136",1,"favorite food",0,0,0,0,0,0,"second","EAT FAVORITE(ASL) EAT FAVORITE(ASL) EAT",NA,"F",24.4,2008,1989
"137",2,"favorite food",0,0,0,0,0,0,"second","EAT FAVORITE(ASL) YOU",NA,"M",21.9,2008,1990
"138",5,"favorite food",1,0,1,2,0,1,"second","COOK FAVORITE/LIKE WHAT",NA,"M",26.2,2008,1986
"139",13,"favorite food",0,0,0,1,0,0,"second","YOUR FOOD FAVORITE MOST FOOD","","F",34.1,2017,1985
"140",17,"favorite food",0,0,0,0,0,1,"first","YOU YOU EAT MORE EAT MORE EAT YOU LIKE YOU",NA,"F",36.5,2017,1977
"141",17,"favorite food",0,0,0,0,0,1,"first","YOU EAT LIKE MORE EAT XXX YOU",NA,"F",36.5,2017,1977
"142",28,"favorite food",1,1,1,1,1,1,"third","YOU LIKE WHICH MOST FOOD WHAT","","M",21.9,2017,1999
"143",47,"favorite food",1,0,0,0,0,0,"hearing","what is your favorite food?","cual es tu comida favorita?","F",37.9,2017,NA
"144",50,"favorite food",0,0,0,0,0,1,"hearing","And your favorite food?","Y tu comida favorita?","F",43.5,2017,NA
"145",6,"favorite food",1,1,0,1,1,1,"second","HOUR POINT HOUR HUNGRY C-E EAT",NA,"F",29.8,2011,1987
"146",7,"favorite food",1,0,0,1,0,0,"first","FOOD PLEASE",NA,"F",31.8,2008,1983
"147",8,"favorite food",0,0,0,2,0,1,"first","FOOD PLEASE FOOD WHAT PLEASE WHAT ",NA,"F",40.1,2008,1974
"148",9,"favorite food",0,1,0,0,0,0,"first","FOOD PLEASE",NA,"M",31,2008,1983
"149",11,"favorite food",1,0,0,0,0,0,"second"," QUESTION FOOD PLEASE",NA,"M",23.1,2008,1989
"150",14,"favorite food",0,0,1,1,1,0,"second","YOU FOOD LIKE QUESTION WHAT",NA,"F",23.3,2008,1989
"151",20,"favorite food",1,0,0,1,0,0,"second","QUESTION YOU FOOD FAVORITE(ASL) WHAT",NA,"M",23.9,2008,1990
"152",21,"favorite food",0,0,0,1,0,0,"second","QUESTION YOU LIKE YOU WHICH WHAT FOOD YOU WHICH YOUR",NA,"M",21.5,2008,1990
"153",22,"favorite food",0,0,0,0,1,0,"first","EAT WHAT FAVORITE DRINK COCA-COLA",NA,"M",30.5,2008,1978
"154",24,"favorite food",0,0,0,0,0,1,"first","FOOD LIKE F-A-V-O-R-I-T-A  YOU",NA,"M",30.9,2008,1980
"155",30,"favorite food",1,0,0,0,0,0,"third","YOUR EAT YOU",NA,"F",16.1,2010,1998
"156",31,"favorite food",0,0,0,0,0,0,"first","FOOD PLEASE",NA,"M",30.5,2008,1982
"157",32,"favorite food",1,0,1,1,1,1,"first","FOOD LIKE MOST WHAT",NA,"M",42.8,2017,1979
"158",33,"favorite food",0,1,0,0,2,1,"first","FOOD F-A-V-O-R-I-T-A WHAT",NA,"F",31,2008,1983
"159",46,"favorite food",1,0,0,0,0,0,"hearing","what is your favorite food that you like to eat the most?","Y tu comida favorita pues la que te gusta mas?","M",17,2017,NA
"160",48,"favorite food",0,0,0,0,0,2,"hearing","And what is your favorite food?","Y cual es tu comida favorita?","F",20.6,2017,NA
"161",48,"favorite food",2,1,0,0,0,0,"hearing","What is your favorite food from your country?","Que comida te gusta de tu pais?","F",20.6,2017,NA
"162",49,"favorite food",0,1,0,0,0,0,"hearing","Your favorite food?","Tu comida favorita?","M",32.2,2017,NA
"163",3,"favorite food",1,1,1,0,0,0,"second","YOU EAT FAVORITE EAT WHAT",NA,"F",21.8,2008,1990
"164",1,"friend",0,0,0,0,0,0,"second","YOU FRIEND YOU FRIEND",NA,"F",24.4,2008,1989
"165",1,"friend",0,1,1,0,0,1,"second","WHERE FRIEND WHERE WHAT",NA,"F",24.4,2008,1989
"166",2,"friend",0,1,0,0,0,0,"second","YOU FRIEND QUESTION",NA,"M",21.9,2008,1990
"167",5,"friend",1,0,1,1,0,0,"second","YOU FRIEND WHAT",NA,"M",26.2,2008,1986
"168",7,"friend",0,0,0,0,0,0,"first","YOU FRIEND (ASL) FRIEND (NSL)",NA,"F",31.8,2008,1983
"169",8,"friend",1,0,0,1,1,0,"first","FRIEND (inc) WHAT FRIEND WHAT",NA,"F",40.1,2008,1974
"170",9,"friend",0,0,0,0,0,0,"first","YOU FRIEND",NA,"M",31,2008,1983
"171",11,"friend",0,0,0,2,1,0,"second"," QUESTION (inc) YOU QUESTION YOU FRIEND NAME FRIEND YOU",NA,"M",23.1,2008,1989
"172",14,"friend",1,1,0,1,0,0,"second","YOU FRIEND NAME YOU FRIEND",NA,"F",23.3,2008,1989
"173",20,"friend",1,1,0,1,0,0,"second","QUESTION YOU FRIENDS",NA,"M",23.9,2008,1990
"174",20,"friend",1,1,0,0,0,2,"second","YOU FRIEND WOMAN QUESTION",NA,"M",23.9,2008,1990
"175",21,"friend",0,0,0,1,1,0,"second","QUESTION YOU FRIEND NAME WHAT",NA,"M",21.5,2008,1990
"176",22,"friend",0,0,0,0,0,0,"first","YOU FRIEND",NA,"M",30.5,2008,1978
"177",24,"friend",0,1,0,0,0,0,"first","YOU FRIEND YOU FRIEND",NA,"M",30.9,2008,1980
"178",31,"friend",1,0,0,0,0,0,"first","YOU FRIEND",NA,"M",30.5,2008,1982
"179",33,"friend",1,0,0,1,0,0,"first","YOU FRIEND MANY",NA,"F",31,2008,1983
"180",3,"friend",0,2,0,0,0,2,"second","YOU FRIEND MAN",NA,"F",21.8,2008,1990
"181",3,"friend",0,1,1,0,0,0,"second","WHAT YOU FRIEND MAN NAME WHAT",NA,"F",21.8,2008,1990
"182",1,"job",0,0,0,0,0,0,"second","YOU WORK",NA,"F",24.4,2008,1989
"183",42,"job",3,0,0,0,0,0,"hearing","To go to work, what do you need to do to go to work? ","Para ir a tu trabajo que es lo que hacer para ir a trabajo?","M",29.4,2011,NA
"184",43,"job",0,0,0,0,0,0,"hearing","What time do you get up to go to work?","Que hora te levantas para ir a trabajo?","M",26,2011,NA
"185",2,"job",0,1,0,0,0,0,"second","WORK QUESTION WORK YOU",NA,"M",21.9,2008,1990
"186",4,"job",1,0,0,1,0,0,"second","WORK YOU WHAT NEED WORK YOU",NA,"M",27.2,2009,1986
"187",5,"job",1,0,0,1,1,0,"second","WORK WHAT YOU",NA,"M",26.2,2008,1986
"188",13,"job",1,0,0,1,0,0,"second","YOU WORK WHAT HAVE WORK","","F",34.1,2017,1985
"189",17,"job",0,0,0,0,0,0,"first","WORK YOU",NA,"F",36.5,2017,1977
"190",28,"job",1,1,0,1,1,0,"third","WHAT WORK WHICH HAVE WHAT","","M",21.9,2017,1999
"191",28,"job",1,2,0,0,0,1,"third","QUESTION YOUWORK YOU","","M",21.9,2017,1999
"192",47,"job",0,0,0,0,0,0,"hearing","and what do you do for work?","y que trabajas?","F",37.9,2017,NA
"193",50,"job",0,0,0,0,0,0,"hearing","And where do you work?","Y adonde trabajas?","F",43.5,2017,NA
"194",6,"job",0,1,0,0,0,0,"second","XXX WORK",NA,"F",29.8,2011,1987
"195",7,"job",0,1,0,0,0,1,"first","YOU WORK",NA,"F",31.8,2008,1983
"196",8,"job",0,0,0,0,1,0,"first","WORK WHAT",NA,"F",40.1,2008,1974
"197",9,"job",0,0,1,0,1,0,"first","YOU (inc) DO WORK WHAT WORK WHAT WORK",NA,"M",31,2008,1983
"198",10,"job",0,1,0,1,0,0,"second","QUESTION WORK YOU WHAT",NA,"F",27.2,2009,1987
"199",12,"job",1,1,0,0,1,0,"third","XXX WORK WHAT",NA,"M",17.9,2010,1998
"200",12,"job",1,0,0,0,1,1,"third","YOU UNIVERSITY WHAT",NA,"M",17.9,2010,1998
"201",15,"job",0,0,1,2,0,0,"third","YOU QUESTION YOU WORK WHAT",NA,"F",28.8,2017,1994
"202",16,"job",1,1,0,1,0,0,"third","YOU WORK",NA,"M",18,2010,1997
"203",20,"job",1,0,0,1,0,0,"second","QUESTION YOU WORK",NA,"M",23.9,2008,1990
"204",22,"job",0,0,0,1,1,0,"first","WORK WHAT",NA,"M",30.5,2008,1978
"205",24,"job",1,0,0,1,0,0,"first","YOU WORK HAVE",NA,"M",30.9,2008,1980
"206",30,"job",1,0,0,1,0,0,"third","YOU WORK WHAT",NA,"F",16.1,2010,1998
"207",31,"job",0,0,0,0,0,0,"first","WORK",NA,"M",30.5,2008,1982
"208",32,"job",1,0,0,1,1,0,"first","YOU WORK YOU",NA,"M",42.8,2017,1979
"209",33,"job",1,0,0,1,0,0,"first","YOU WORK WHAT YOU",NA,"F",31,2008,1983
"210",45,"job",1,0,0,1,0,0,"second","SCHOOL WORK SCHOOL WORK",NA,"F",26.5,2011,1990
"211",46,"job",0,1,0,0,0,1,"hearing","what are the hours? what is your job?","y en que son la rolas?que trabajas?","M",17,2017,NA
"212",48,"job",1,0,1,0,0,0,"hearing","And what do you work in?","Y en que trabajas?","F",20.6,2017,NA
"213",48,"job",0,0,1,0,0,1,"hearing","And you like your job?","Y te gusta tu trabajo?","F",20.6,2017,NA
"214",49,"job",0,0,0,0,0,0,"hearing","And your job? What do you work in? ","Y tu trabajo? De que trabajas?","M",32.2,2017,NA
"215",6,"job",0,1,0,1,1,1,"second","XXX SCHOOL OR WORK",NA,"F",29.8,2011,1987
"216",6,"job",0,0,0,0,0,0,"second","XXX UNIVERISTY YOU",NA,"F",29.8,2011,1987
"217",12,"job",0,0,0,1,1,0,"third","SCHOOL SCHOOL WHAT YOU",NA,"M",17.9,2010,1998
"218",15,"job",0,1,1,2,0,0,"third","SCHOOL QUESTION QUESTION SCHOOL WHAT SCHOOL QUESTION SCHOOL",NA,"F",28.8,2017,1994
"219",15,"job",0,0,2,2,0,0,"third","YOU QUESTION WORK SORRY. QUESTION WHAT UNIVERSITY WHAT STUDY YOU WHAT",NA,"F",28.8,2017,1994
"220",16,"job",1,0,0,1,0,0,"third","YOU SCHOOL YOU SCHOOL",NA,"M",18,2010,1997
"221",16,"job",1,0,0,1,0,0,"third","YOU UNIVERISTY STUDY",NA,"M",18,2010,1997
"222",25,"job",0,0,0,1,0,0,"third","QUESTION YOU STUDY",NA,"F",19.4,2009,1994
"223",30,"job",0,0,0,1,0,1,"third","YOU UNIVERSITY",NA,"F",16.1,2010,1998
"224",45,"job",1,1,0,1,1,0,"second","SEE YOU UNIVERSITY WHAT CLASS(?)",NA,"F",26.5,2011,1990
"225",30,"jop",0,0,0,1,0,0,"third","YOU GO CULTURE MUSIC YOU",NA,"F",16.1,2010,1998
"226",34,"mother's birthday",0,0,0,0,0,0,"hearing","when is your mother's birthday?","cuando cumpleanos tu mami?","F",27.6,2010,NA
"227",35,"mother's birthday",0,0,1,0,0,0,"hearing","when is your mom's birthday?","cuando cumple anos tu mama","F",30.2,2010,NA
"228",42,"mother's birthday",1,1,0,0,0,1,"hearing","And your mom, the birthday of your mom? Or the date?","Tu mama, el cumpleanos de tu mama? O la fecha?","M",29.4,2011,NA
"229",42,"mother's birthday",0,2,0,0,0,0,"hearing","How many- When is your mother's birthday?","Cuantos- Cuando cumpleanos tu mama?","M",29.4,2011,NA
"230",43,"mother's birthday",0,0,0,0,0,0,"hearing","When is your mother's birthday?","Cuando es el cumpleanos de tu mama?","M",26,2011,NA
"231",44,"mother's birthday",0,0,0,0,0,0,"hearing","La fetcha de cumpleanos de tu mama","La fetcha de cumpleanos de tu mama","M",27.6,2011,NA
"232",44,"mother's birthday",0,0,0,0,0,2,"hearing","When is your mother birthday?","Cuando es el cumpleanos de tu mama?","M",27.6,2011,NA
"233",2,"mother's birthday",1,0,0,0,0,1,"second","BIRTHDAY OF YOUR MOM ",NA,"M",21.9,2008,1990
"234",5,"mother's birthday",1,0,0,2,0,0,"second","YOU BIRTHDAY OF YOU MOTHER BIRTHDAY (inc) WHAT",NA,"M",26.2,2008,1986
"235",13,"mother's birthday",0,0,0,1,0,0,"second","YOU MAMA WHEN BIRTHDAY  MAMA ","","F",34.1,2017,1985
"236",17,"mother's birthday",0,0,0,0,0,0,"first","YOU MAMA BIRTHDAY MAMA BIRTHDAY",NA,"F",36.5,2017,1977
"237",28,"mother's birthday",1,1,0,0,0,0,"third","YOU MAMA WHAT NAME WHAT YOU NAME","","M",21.9,2017,1999
"238",47,"mother's birthday",0,0,0,0,0,0,"hearing","when is your birthday?","cuando cumpleaños?","F",37.9,2017,NA
