"","nonmanual","ID","duration","wh_word","wh_overlap","item","spanish","gloss","cohort","Sex","age","year_tested","year_entry"
"15","Brow raise",1,0.67,"Adonde","Adonde","friend",NA,"WHERE FRIEND WHERE WHAT","second","F",24.4,2008,1989
"16","Brow raise",1,0.67,NA,NA,NA,NA,NA,"second","F",24.4,2008,1989
"17","Brow raise",1,0.59,NA,NA,"wake up time",NA,"TIME WAKE-UP TIME","second","F",24.4,2008,1989
"18","Brow raise",1,0.86,NA,NA,"bed time",NA,"TIME NIGHT BEFORE WRONG BEFORE (*she's correcting the last question)","second","F",24.4,2008,1989
"19","Brow raise",1,0.93,NA,NA,"wake up time",NA,"THEN MORNING WAKE-UP TIME","second","F",24.4,2008,1989
"20","Chin lift",1,0.79,"Adonde","Adonde","town",NA,"YOU HOUSE DONDE","second","F",24.4,2008,1989
"21","Chin lift",1,0.69,"Adonde","Adonde","friend",NA,"WHERE FRIEND WHERE WHAT","second","F",24.4,2008,1989
"22","Chin lift",1,3.01,NA,NA,NA,NA,NA,"second","F",24.4,2008,1989
"23","Head tilt",1,0.9,NA,NA,"age",NA,"YOU YEAR","second","F",24.4,2008,1989
"24","Head tilt",1,0.97,"Adonde","Adonde","town",NA,"YOU HOUSE DONDE","second","F",24.4,2008,1989
"25","Head tilt",1,0.6,NA,NA,"wake up time",NA,"TIME WAKE-UP TIME","second","F",24.4,2008,1989
"26","Shoulder raise",1,0.69,"Adonde","Adonde","friend",NA,"WHERE FRIEND WHERE WHAT","second","F",24.4,2008,1989
"27","Brow raise",42,1.32,"Cuantos","Cuantos","age","Cuantos anos tienes?","How old are you?","hearing","M",29.4,2011,NA
"28","Brow raise",42,1.07,NA,NA,"birthday","Y la fecha que nacistes?","And your date of birth?","hearing","M",29.4,2011,NA
"29","Brow raise",42,0.91,NA,NA,"mother's birthday","Tu mama, el cumpleanos de tu mama? O la fecha?","And your mom, the birthday of your mom? Or the date?","hearing","M",29.4,2011,NA
"30","Brow raise",42,2.29,"Que",NA,"transportation","Cuando vas a tu trabajo, en que te vas?","When you go to work, what do you go in?","hearing","M",29.4,2011,NA
"31","Chin lift",42,0.76,"Cuando","Cuando","birthday","Cuando cumples anos?","When is your birthday?","hearing","M",29.4,2011,NA
"32","Chin lift",42,0.73,"Cual","Cual","teacher","Cual es el nombre de tu maestra?","What is the name of your teacher?","hearing","M",29.4,2011,NA
"33","Chin lift",42,0.78,"Cual",NA,"teacher","Cual es el nombre de tu maestra?","What is the name of your teacher?","hearing","M",29.4,2011,NA
"34","Chin lift",42,0.89,NA,NA,"mother's birthday","Tu mama, el cumpleanos de tu mama? O la fecha?","And your mom, the birthday of your mom? Or the date?","hearing","M",29.4,2011,NA
"35","Chin lift",42,0.75,"Cuantos","Cuantos","mother's birthday","Cuantos- Cuando cumpleanos tu mama?","How many- When is your mother's birthday?","hearing","M",29.4,2011,NA
"36","Chin lift",42,1.2,"Cuantos","Cuando","mother's birthday","Cuantos- Cuando cumpleanos tu mama?","How many- When is your mother's birthday?","hearing","M",29.4,2011,NA
"37","Chin lift",42,0.89,"Que","Que","transportation","Cuando vas a tu trabajo, en que te vas?","When you go to work, what do you go in?","hearing","M",29.4,2011,NA
"38","Head tilt",42,1.55,"Adonde","Adonde","town","Donde vives?","Where do you live?","hearing","M",29.4,2011,NA
"39","Head tilt",42,0.65,"Que",NA,"job","Para ir a tu trabajo que es lo que hacer para ir a trabajo?","To go to work, what do you need to do to go to work? ","hearing","M",29.4,2011,NA
"40","Head tilt",42,0.66,"Que","Que","job","Para ir a tu trabajo que es lo que hacer para ir a trabajo?","To go to work, what do you need to do to go to work? ","hearing","M",29.4,2011,NA
"41","Head tilt",42,0.72,"Que",NA,"job","Para ir a tu trabajo que es lo que hacer para ir a trabajo?","To go to work, what do you need to do to go to work? ","hearing","M",29.4,2011,NA
"42","Head tilt",42,0.67,NA,NA,"transportation","Y la routa mas cercas que pasa por tu casa?","And the route closest to you that passes by your house?","hearing","M",29.4,2011,NA
"43","Head tilt",42,1.08,NA,NA,"transportation","El bus mas cercano que pasa por tu casa?","The bus that pases closest to your house?","hearing","M",29.4,2011,NA
"44","Head tilt",42,2.28,NA,NA,"teacher","Y el nombre de tu maestra? O la ultima maestra que tenistes?","And the name of you teacher? Or the last teacher you've had?","hearing","M",29.4,2011,NA
"45","Head tilt",42,0.98,NA,NA,"mother's birthday","Tu mama, el cumpleanos de tu mama? O la fecha?","And your mom, the birthday of your mom? Or the date?","hearing","M",29.4,2011,NA
"46","Head tilt",42,1.76,"Que",NA,"transportation","Cuando ibas a la universidad, en que te ibas?","When you use to go to university, what did you go in?","hearing","M",29.4,2011,NA
"47","Shoulder raise",42,0.8,"Cuantos",NA,"age","Cuantos anos tienes?","How old are you?","hearing","M",29.4,2011,NA
"48","Brow raise",43,1.16,NA,NA,"town","El color de tu casa?","The color of your house?","hearing","M",26,2011,NA
"49","Brow raise",43,0.71,"Que",NA,"transportation","Que te transportas en la escuela?","What do you use to transport for school?","hearing","M",26,2011,NA
"50","Head tilt",43,0.91,"Cual","Cual","town","Cual es la dirreccion de tu casa?","What is the direction for your house?","hearing","M",26,2011,NA
"51","Head tilt",43,0.8,"Cual",NA,"transportation","Cual es la routa o bus que pasa mas cerca a tu casa?","What is the route or bus that passes closest to your house?","hearing","M",26,2011,NA
"52","Head tilt",43,1.1,"Que",NA,"transportation","Cuando ibas a la universidad en que ibas o que te transportas?","When you use to go to university what did you go in or en que te transportas?","hearing","M",26,2011,NA
"53","Shoulder raise",43,0.91,"Cual","Cual","town","Cual es la dirreccion de tu casa?","What is the direction for your house?","hearing","M",26,2011,NA
"54","Shoulder raise",43,0.85,"Cual",NA,"transportation","Cual es la routa o bus que pasa mas cerca a tu casa?","What is the route or bus that passes closest to your house?","hearing","M",26,2011,NA
"55","Brow furrow",44,1.41,"Cual","Cual","town","Me puedes decir cual es la direccion para tu casa?","And, can you tell me what is the direction of your house?","hearing","M",27.6,2011,NA
"56","Brow furrow",44,0.5,"Cuando","Cuando","birthday","Y cuando es tu cumpleanos?","And when is your birthday?","hearing","M",27.6,2011,NA
"57","Brow furrow",44,0.62,"Que","Que","transportation","Que typo de transporte usas para ir a tu trabajo o escuela?","What type of transportation do you use to go to school or work?","hearing","M",27.6,2011,NA
"58","Brow furrow",44,0.81,"Que",NA,"transportation","Que typo de transporte usas para ir a tu trabajo o escuela?","What type of transportation do you use to go to school or work?","hearing","M",27.6,2011,NA
"59","Brow furrow",44,0.52,"Cuantos","Cuantos","siblings","Cuantos hermanos tienes?","How many siblings do you have?","hearing","M",27.6,2011,NA
"60","Brow furrow",44,0.63,"Que","Que","other","A que hora te levantas para- ir al gymnasio?","What time do you get up to go to the gym?","hearing","M",27.6,2011,NA
"61","Nose wrinkle",44,0.36,"Cual",NA,"transportation","Cual es la routa que te lleva mas cerca a tu casa?","What is the route that takes you closest to your home?","hearing","M",27.6,2011,NA
"62","Brow raise",44,0.84,"Cuando",NA,"mother's birthday","Cuando es el cumpleanos de tu mama?","When is your mother birthday?","hearing","M",27.6,2011,NA
"63","Brow raise",44,0.61,"Cuando","Cuando","mother's birthday","Cuando es el cumpleanos de tu mama?","When is your mother birthday?","hearing","M",27.6,2011,NA
"64","Chin lift",44,0.6,"Que",NA,"other","A que hora te levantas para- ir al gymnasio?","What time do you get up to go to the gym?","hearing","M",27.6,2011,NA
"65","Chin lift",44,1.23,"Que",NA,"time","Despues de un dia bien canzado, que hora cenas?","After a long day, what time do you eat dinner?","hearing","M",27.6,2011,NA
"66","Chin lift",44,0.67,"Que","Que","transportation","Que transporte utilzas para ir a la universidad?","What transportation to do you to go to university?","hearing","M",27.6,2011,NA
"67","Chin lift",44,0.63,"Que",NA,"transportation","Y para ir a la universidad, que transporte usas?","And to go to university, what transportationd do you use? ","hearing","M",27.6,2011,NA
"68","Chin lift",44,0.75,"Que","Que","transportation","Y para ir a la universidad, que transporte usas?","And to go to university, what transportationd do you use? ","hearing","M",27.6,2011,NA
"69","Head tilt",44,0.6,"Cuando",NA,"birthday","Y cuando es tu cumpleanos?","And when is your birthday?","hearing","M",27.6,2011,NA
"70","Head tilt",44,0.47,"Que","Que","transportation","Que typo de transporte usas para ir a tu trabajo o escuela?","What type of transportation do you use to go to school or work?","hearing","M",27.6,2011,NA
"71","Head tilt",44,1.02,"Que",NA,"transportation","Que typo de transporte usas para ir a tu trabajo o escuela?","What type of transportation do you use to go to school or work?","hearing","M",27.6,2011,NA
"72","Head tilt",44,0.6,"Que",NA,"other","A que hora te levantas para- ir al gymnasio?","What time do you get up to go to the gym?","hearing","M",27.6,2011,NA
"73","Head tilt",44,1.24,"Cual",NA,"transportation","Cual es la routa que te lleva mas cerca a tu casa?","What is the route that takes you closest to your home?","hearing","M",27.6,2011,NA
"74","Shoulder raise",44,0.56,"Cuando",NA,"birthday","Y cuando es tu cumpleanos?","And when is your birthday?","hearing","M",27.6,2011,NA
"75","Shoulder raise",44,0.33,"Que",NA,"other","A que hora te levantas para- ir al gymnasio?","What time do you get up to go to the gym?","hearing","M",27.6,2011,NA
"76","Shoulder raise",44,0.76,"Cual",NA,"transportation","Cual es la routa que te lleva mas cerca a tu casa?","What is the route that takes you closest to your home?","hearing","M",27.6,2011,NA
"77","Shoulder raise",44,0.38,NA,NA,"teacher","Dime el nombre de la maestra de tu secundaria?","Tell me the name of your teacher from middle school?","hearing","M",27.6,2011,NA
"78","Shoulder raise",44,0.31,"Que",NA,"transportation","Que transporte utilzas para ir a la universidad?","What transportation to do you to go to university?","hearing","M",27.6,2011,NA
"79","Brow furrow",2,0.9,NA,NA,"wake up time",NA,"TIME OF MORNING MORNING","second","M",21.9,2008,1990
"80","Brow raise",2,0.53,NA,NA,"siblings",NA,"NUMBER DE SIBLINGS","second","M",21.9,2008,1990
"81","Brow raise",2,0.59,NA,NA,"mother’s birthday",NA,"BIRTHDAY OF YOUR MOM ","second","M",21.9,2008,1990
"82","Chin lift",2,0.373,"Question","Question","job",NA,"WORK QUESTION WORK YOU","second","M",21.9,2008,1990
"83","Chin lift",2,0.869,"Question","Question","town",NA,"YOU HOUSE QUESTION YOU HOUSE WHAT","second","M",21.9,2008,1990
"84","Chin lift",2,0.81,"Question","Question","friend",NA,"YOU FRIEND QUESTION","second","M",21.9,2008,1990
"85","Head tilt",2,1.15,NA,NA,"siblings",NA,"NUMBER DE SIBLINGS","second","M",21.9,2008,1990
"86","Head tilt",2,0.337,"Question",NA,"town",NA,"YOU HOUSE QUESTION YOU HOUSE WHAT","second","M",21.9,2008,1990
"87","Head tilt",2,1.1,NA,NA,"mother’s birthday",NA,"BIRTHDAY OF YOUR MOM ","second","M",21.9,2008,1990
"88","Brow furrow",3,1.4,"Que","Que","mother's birthday",NA,"BIRTHDAY YOU MAMA WHAT","second","F",21.8,2008,1990
"89","Brow furrow",3,2.61,"Que","Que","supermarket",NA,"YOU WHAT SUPERMARKET NAME WHAT SUPERMARKET SUPERMARKET","second","F",21.8,2008,1990
"90","Nose wrinkle",3,0.62,"Que","Que","transportation",NA,"YOU WHAT BUS SCHOOL WHAT","second","F",21.8,2008,1990
"91","Nose wrinkle",3,0.5,"Que",NA,"transportation",NA,"YOU WHAT BUS SCHOOL WHAT","second","F",21.8,2008,1990
"92","Nose wrinkle",3,0.47,"Adonde","Adonde","town",NA,"WHERE LOCATION YOU HOUSE","second","F",21.8,2008,1990
"93","Nose wrinkle",3,0.5,"Cuantos",NA,"siblings",NA,"HOW-MANY SIBLINGS YOU HOW-MANY SIBLINGS","second","F",21.8,2008,1990
"94","Nose wrinkle",3,0.65,"Que","Que","mother's birthday",NA,"BIRTHDAY YOU MAMA WHAT","second","F",21.8,2008,1990
"95","Brow raise",3,0.7,NA,NA,"wake up time",NA,"TIME MORNING EYES WAKE-UP GET-UP WAKE-UP TIME","second","F",21.8,2008,1990
"96","Brow raise",3,1.29,NA,NA,"friend",NA,"YOU FRIEND MAN","second","F",21.8,2008,1990
"97","Brow raise",3,0.279,NA,NA,NA,NA,NA,"second","F",21.8,2008,1990
"98","Brow raise",3,0.788,NA,NA,"bed time",NA,"TIME BED TIME BED","second","F",21.8,2008,1990
"99","Chin lift",3,0.64,NA,NA,"wake up time",NA,"TIME MORNING EYES WAKE-UP GET-UP WAKE-UP TIME","second","F",21.8,2008,1990
"100","Chin lift",3,0.83,"Que","Que","transportation",NA,"YOU WHAT BUS SCHOOL WHAT","second","F",21.8,2008,1990
"101","Chin lift",3,0.96,"Adonde","Adonde","town",NA,"WHERE LOCATION YOU HOUSE","second","F",21.8,2008,1990
"102","Chin lift",3,1.644,"Cuantos","Cuantos","siblings",NA,"HOW-MANY SIBLINGS YOU HOW-MANY SIBLINGS","second","F",21.8,2008,1990
"103","Chin lift",3,0.72,"Que","Que","favorite food",NA,"YOU EAT FAVORITE EAT WHAT","second","F",21.8,2008,1990
"104","Chin lift",3,1.11,NA,NA,"friend",NA,"YOU FRIEND MAN","second","F",21.8,2008,1990
"105","Chin lift",3,1.55,NA,NA,"friend",NA,"YOU FRIEND MAN","second","F",21.8,2008,1990
"106","Chin lift",3,1.71,"Que","Que","friend",NA,"WHAT YOU FRIEND MAN NAME WHAT","second","F",21.8,2008,1990
"107","Chin lift",3,0.78,"Que","Que","mother's birthday",NA,"BIRTHDAY YOU MAMA WHAT","second","F",21.8,2008,1990
"108","Chin lift",3,0.55,"Que","Que","supermarket",NA,"YOU WHAT SUPERMARKET NAME WHAT SUPERMARKET SUPERMARKET","second","F",21.8,2008,1990
"109","Chin lift",3,0.54,"Que","Que","supermarket",NA,"YOU WHAT SUPERMARKET NAME WHAT SUPERMARKET SUPERMARKET","second","F",21.8,2008,1990
"110","Head tilt",3,0.72,"Que","Que","favorite food",NA,"YOU EAT FAVORITE EAT WHAT","second","F",21.8,2008,1990
"111","Head tilt",3,1.95,NA,NA,"age",NA,"YOU HAVE YEARS YOU","second","F",21.8,2008,1990
"112","Shoulder raise",3,0.66,"Que","Que","favorite food",NA,"YOU EAT FAVORITE EAT WHAT","second","F",21.8,2008,1990
"113","Shoulder raise",3,0.69,"Que","Que","friend",NA,"WHAT YOU FRIEND MAN NAME WHAT","second","F",21.8,2008,1990
"114","Brow furrow",4,0.29,NA,NA,"transportation",NA,"BUS M-A-S NEAR","second","M",27.2,2009,1986
"115","Brow furrow",4,0.59,"Que","Que","job",NA,"WORK YOU WHAT NEED WORK YOU","second","M",27.2,2009,1986
"116","Nose wrinkle",4,0.29,NA,NA,"transportation",NA,"BUS M-A-S NEAR","second","M",27.2,2009,1986
"117","Nose wrinkle",4,0.74,"Que","Que","other",NA,"MOM DAD WHAT","second","M",27.2,2009,1986
"118","Brow raise",4,1.17,NA,NA,"transportation",NA,"YOU LIKE SORT-OF I  BS YOU HOUSE I BUS NEAR COME-ON DRIVE","second","M",27.2,2009,1986
"119","Chin lift",4,0.39,NA,NA,"transportation",NA,"BUS M-A-S NEAR","second","M",27.2,2009,1986
"120","Chin lift",4,0.53,NA,NA,"time",NA,"TIME EAT HOUR","second","M",27.2,2009,1986
"121","Head tilt",4,1.18,NA,NA,"age",NA,"YEARS","second","M",27.2,2009,1986
"122","Head tilt",4,0.78,NA,NA,"wake up time",NA,"YOU TIME YOU NORMAL TIME GET-UP YOU","second","M",27.2,2009,1986
"123","Head tilt",4,0.55,NA,NA,"time",NA,"WORK GET-UP TIME","second","M",27.2,2009,1986
"124","Head tilt",4,0.78,"Cuantos","Cuantos","siblings",NA,"NUMBER SIBLINGS HOW-MANY NUMBER SIBLINGS HOW-MANY-2 SIBLINGS HOW-MANY-2 SIBLINGS FAMILY YOU FAMILY HEY FAMILY SIBLINGS","second","M",27.2,2009,1986
"125","Head tilt",4,1.04,"Cuantos","Cuantos","siblings",NA,"NUMBER SIBLINGS HOW-MANY NUMBER SIBLINGS HOW-MANY-2 SIBLINGS HOW-MANY-2 SIBLINGS FAMILY YOU FAMILY HEY FAMILY SIBLINGS","second","M",27.2,2009,1986
"126","Head tilt",4,0.62,NA,NA,"transportation",NA,"YOU LIKE SORT-OF I  BS YOU HOUSE I BUS NEAR COME-ON DRIVE","second","M",27.2,2009,1986
"127","Head tilt",4,0.98,"Que","Que","job",NA,"WORK YOU WHAT NEED WORK YOU","second","M",27.2,2009,1986
"128","Brow furrow",5,1.7,NA,NA,"age",NA,"YOU YEAR YOU","second","M",26.2,2008,1986
"129","Brow furrow",5,1.1,NA,NA,"birthday",NA,"YOU BIRTHDAY YOU BIRTHDAY","second","M",26.2,2008,1986
"130","Brow furrow",5,0.91,NA,NA,"siblings",NA,"NUMBER DE (fs) SIBLINGS YOU","second","M",26.2,2008,1986
"131","Brow furrow",5,0.7,"Que","Que","job",NA,"WORK WHAT YOU","second","M",26.2,2008,1986
"132","Brow furrow",5,0.31,"Que",NA,"favorite food",NA,"COOK FAVORITE/LIKE WHAT","second","M",26.2,2008,1986
"133","Brow furrow",5,1.33,"Que","Que","favorite food",NA,"COOK FAVORITE/LIKE WHAT","second","M",26.2,2008,1986
"134","Brow furrow",5,0.74,"Que",NA,"town",NA,"YOU HOUSE WHAT","second","M",26.2,2008,1986
"135","Brow furrow",5,0.9,"Que",NA,"friend",NA,"YOU FRIEND WHAT","second","M",26.2,2008,1986
"136","Brow furrow",5,1.5,"Que",NA,"mother's birthday",NA,"YOU BIRTHDAY OF YOU MOTHER BIRTHDAY (inc) WHAT","second","M",26.2,2008,1986
"137","Brow furrow",5,0.55,"Que","Que","mother's birthday",NA,"YOU BIRTHDAY OF YOU MOTHER BIRTHDAY (inc) WHAT","second","M",26.2,2008,1986
"138","Brow furrow",5,0.87,"Que",NA,"wake up time",NA,"TIME WAKE UP WHAT","second","M",26.2,2008,1986
"139","Nose wrinkle",5,0.45,"Que","Que","job",NA,"WORK WHAT YOU","second","M",26.2,2008,1986
"140","Nose wrinkle",5,0.71,"Que","Que","town",NA,"YOU HOUSE WHAT","second","M",26.2,2008,1986
"141","Brow raise",5,0.46,"Que","Que","favorite food",NA,"COOK FAVORITE/LIKE WHAT","second","M",26.2,2008,1986
"142","Chin lift",5,0.71,"Que","Que","town",NA,"YOU HOUSE WHAT","second","M",26.2,2008,1986
"143","Chin lift",5,0.72,NA,NA,"bed time",NA,"TIME NIGHT (inc) SLEEP SLEEP YOU","second","M",26.2,2008,1986
"144","Head tilt",5,1.24,NA,NA,"name",NA,"YOU NAME YOU NAME","second","M",26.2,2008,1986
"145","Head tilt",5,1.56,NA,NA,"age",NA,"YOU YEAR YOU","second","M",26.2,2008,1986
"146","Head tilt",5,0.91,NA,NA,"siblings",NA,"NUMBER DE (fs) SIBLINGS YOU","second","M",26.2,2008,1986
"147","Head tilt",5,1.4,"Que","Que","job",NA,"WORK WHAT YOU","second","M",26.2,2008,1986
"148","Head tilt",5,0.76,"Que","Que","favorite food",NA,"COOK FAVORITE/LIKE WHAT","second","M",26.2,2008,1986
"149","Head tilt",5,1.27,"Que",NA,"town",NA,"YOU HOUSE WHAT","second","M",26.2,2008,1986
"150","Head tilt",5,1.21,"Que","Que","friend",NA,"YOU FRIEND WHAT","second","M",26.2,2008,1986
"151","Head tilt",5,0.79,"Que",NA,"mother's birthday",NA,"YOU BIRTHDAY OF YOU MOTHER BIRTHDAY (inc) WHAT","second","M",26.2,2008,1986
"152","Head tilt",5,1.24,"Que",NA,"wake up time",NA,"TIME WAKE UP WHAT","second","M",26.2,2008,1986
"153","Head tilt",5,2.01,NA,NA,"bed time",NA,"TIME NIGHT (inc) SLEEP SLEEP YOU","second","M",26.2,2008,1986
"154","Shoulder raise",5,1.53,"Que","Que","favorite food",NA,"COOK FAVORITE/LIKE WHAT","second","M",26.2,2008,1986
"155","Shoulder raise",5,0.547,"Que","Que","friend",NA,"YOU FRIEND WHAT","second","M",26.2,2008,1986
"156","Brow furrow",13,2.579,NA,NA,"name","","YOU NAME","second","F",34.1,2017,1985
"157","Brow furrow",13,3.56,"Que","Que","birthday","","YOU BIRTHDAY YOU WHAT","second","F",34.1,2017,1985
"158","Brow furrow",13,4.121,"Que","Que","job","","YOU WORK WHAT HAVE WORK","second","F",34.1,2017,1985
"159","Brow furrow",13,7.026,NA,NA,"town","","DIRECTIONS YOU HOUSE DIRECTIONS","second","F",34.1,2017,1985
"160","Brow furrow",13,4.21,NA,NA,"name","","YOU PROFESSOR NAME","second","F",34.1,2017,1985
"161","Brow furrow",13,0.98,NA,NA,"wake up time","","TIME WAKE-UP MORNING YOU TIME","second","F",34.1,2017,1985
"162","Brow furrow",13,4.97,NA,NA,"wake up time","","TIME WAKE-UP MORNING YOU TIME","second","F",34.1,2017,1985
"163","Brow furrow",13,3.233,"Cuando","Cuando","mother’s birthday","","YOU MAMA WHEN BIRTHDAY  MAMA ","second","F",34.1,2017,1985
"164","Brow furrow",13,5.692,NA,NA,"favorite food","","YOUR FOOD FAVORITE MOST FOOD","second","F",34.1,2017,1985
"165","Brow furrow",13,1.892,NA,NA,"age","","YEARS","second","F",34.1,2017,1985
"166","Brow furrow",13,2.15,NA,NA,"siblings","","YOU SIBLINGS","second","F",34.1,2017,1985
"167","Brow furrow",13,8.32,"Cual","Cual","transportation","","YOU WORK GO WHICH CAR BUS WHAT TAXI","second","F",34.1,2017,1985
"168","Brow furrow",13,4.85,NA,NA,"bed time","","TIME BED DARK YOU TIME","second","F",34.1,2017,1985
"169","Nose wrinkle",13,1.713,NA,NA,"bed time","","TIME BED DARK YOU TIME","second","F",34.1,2017,1985
"170","Brow raise",13,0.43,NA,NA,"wake up time","","TIME WAKE-UP MORNING YOU TIME","second","F",34.1,2017,1985
"171","Chin lift",13,0.92,NA,NA,"wake up time","","TIME WAKE-UP MORNING YOU TIME","second","F",34.1,2017,1985
"172","Head tilt",13,1.84,"Que","Que","job","","YOU WORK WHAT HAVE WORK","second","F",34.1,2017,1985
"173","Head tilt",13,0.82,NA,NA,"name","","YOU PROFESSOR NAME","second","F",34.1,2017,1985
"174","Head tilt",13,1.02,NA,NA,NA,NA,NA,"second","F",34.1,2017,1985
"175","Head tilt",13,2.63,"Cual","Cual","transportation","","YOU WORK GO WHICH CAR BUS WHAT TAXI","second","F",34.1,2017,1985
"176","Brow raise",17,1.402,NA,NA,"wake-up",NA,"THE MORNING SLEEP WAKE-UP XXXX TIME YOU","first","F",36.5,2017,1977
"177","Brow raise",17,0.942,NA,NA,"wake-up",NA,"THE MORNING SLEEP WAKE-UP XXXX TIME YOU","first","F",36.5,2017,1977
"178","Brow raise",17,0.91,NA,NA,"wake-up",NA,"THE MORNING SLEEP WAKE-UP XXXX TIME YOU","first","F",36.5,2017,1977
"179","Brow raise",17,1.44,NA,NA,"favorite food",NA,"YOU YOU EAT MORE EAT MORE EAT YOU LIKE YOU","first","F",36.5,2017,1977
"180","Brow raise",17,1.09,NA,NA,"favorite food",NA,"YOU EAT LIKE MORE EAT XXX YOU","first","F",36.5,2017,1977
"181","Brow raise",17,1.97,NA,NA,"bed time",NA,"TIME BED YOU ... NIGHT","first","F",36.5,2017,1977
"182","Brow raise",17,1.74,NA,NA,"other",NA,"S-U YOU PAPA NAME YOU","first","F",36.5,2017,1977
"183","Brow raise",17,2.02,NA,NA,"transportation",NA,"HE YOU YOU WORK DRIVE BUS WALK STREET WALK OR LIKE WHAT YOU WORK LIKE YOU","first","F",36.5,2017,1977
"184","Brow furrow",28,0.79,"Que","Que","job","","WHAT WORK WHICH HAVE WHAT","third","M",21.9,2017,1999
"185","Brow furrow",28,0.65,"Adonde","Adonde","town ","","YOU WHERE HOUSE ADDRESS","third","M",21.9,2017,1999
"186","Brow furrow",28,0.28,"Que",NA,"wake up time","","YOU TIME WAKE-UP GET-UP TIME WHAT","third","M",21.9,2017,1999
"187","Brow furrow",28,0.34,"Cuando",NA,"birthday","","YOU BIRTHDAY WHEN BIRTHDAY","third","M",21.9,2017,1999
"188","Brow furrow",28,0.96,"Cual","Cual","favorite food","","YOU LIKE WHICH MOST FOOD WHAT","third","M",21.9,2017,1999
"189","Brow furrow",28,1.14,NA,NA,"age","","HAVE YEARS YOU","third","M",21.9,2017,1999
"190","Brow furrow",28,1.22,"Que","Que","transportation","","YOU WHAT WORK BUS OR WALK OR WHATEVER WHICH ","third","M",21.9,2017,1999
"191","Brow furrow",28,2.075,"Que","Cual","transportation","","YOU WHAT WORK BUS OR WALK OR WHATEVER WHICH ","third","M",21.9,2017,1999
"192","Brow furrow",28,0.71,"Que",NA,"bed time","","TIME BED WHAT","third","M",21.9,2017,1999
"193","Brow furrow",28,0.52,"Que","Que","bed time","","TIME BED WHAT","third","M",21.9,2017,1999
"194","Nose wrinkle",28,1.74,"Que","Cual","job","","WHAT WORK WHICH HAVE WHAT","third","M",21.9,2017,1999
"195","Nose wrinkle",28,0.23,"Adonde","Adonde","town ","","YOU WHERE HOUSE ADDRESS","third","M",21.9,2017,1999
"196","Nose wrinkle",28,0.96,"Cual","Cual","favorite food","","YOU LIKE WHICH MOST FOOD WHAT","third","M",21.9,2017,1999
"197","Nose wrinkle",28,0.6,NA,NA,"age","","HAVE YEARS YOU","third","M",21.9,2017,1999
"198","Nose wrinkle",28,0.36,"Que",NA,"transportation","","YOU WHAT WORK BUS OR WALK OR WHATEVER WHICH ","third","M",21.9,2017,1999
"199","Brow raise",28,0.65,"Question",NA,"job","","QUESTION YOUWORK YOU","third","M",21.9,2017,1999
"200","Brow raise",28,0.54,"Cual",NA,"favorite food","","YOU LIKE WHICH MOST FOOD WHAT","third","M",21.9,2017,1999
"201","Brow raise",28,1.67,"Que","Que","siblings","","YOU WHAT HAVE SIBLINGS","third","M",21.9,2017,1999
"202","Brow raise",28,0.55,"Que",NA,"transportation","","YOU WHAT WORK BUS OR WALK OR WHATEVER WHICH ","third","M",21.9,2017,1999
"203","Chin lift",28,0.61,"Question","Question","job","","QUESTION YOUWORK YOU","third","M",21.9,2017,1999
